,raw_price,raw_volume,proc_price,proc_volume
2015-03-28 00:00:00+00:00,201.0,,266.0,
2015-03-29 00:00:00+00:00,206.0,,273.0,
2015-03-30 00:00:00+00:00,201.0,,266.0,
2015-03-31 00:00:00+00:00,192.0,,260.0,
2015-04-01 00:00:00+00:00,193.0,,262.0,
2015-04-02 00:00:00+00:00,191.0,,257.0,
2015-04-03 00:00:00+00:00,193.0,,251.0,
2015-04-04 00:00:00+00:00,194.0,,246.0,
2015-04-05 00:00:00+00:00,193.0,,248.0,
2015-04-06 00:00:00+00:00,191.0,,252.0,
2015-04-07 00:00:00+00:00,192.0,,244.0,
2015-04-08 00:00:00+00:00,190.0,,235.0,
2015-04-09 00:00:00+00:00,187.0,,242.0,
2015-04-10 00:00:00+00:00,187.0,,247.0,
2015-04-11 00:00:00+00:00,189.0,,252.0,
2015-04-12 00:00:00+00:00,191.0,,250.0,
2015-04-13 00:00:00+00:00,191.0,,245.0,
2015-04-14 00:00:00+00:00,191.0,,245.0,
2015-04-15 00:00:00+00:00,193.0,,245.0,
2015-04-16 00:00:00+00:00,193.0,,243.0,
2015-04-17 00:00:00+00:00,192.0,,246.0,
2015-04-18 00:00:00+00:00,193.0,,240.0,
2015-04-19 00:00:00+00:00,193.0,,231.0,
2015-04-20 00:00:00+00:00,192.0,,226.0,
2015-04-21 00:00:00+00:00,189.0,,220.0,
2015-04-22 00:00:00+00:00,182.0,,228.0,
2015-04-23 00:00:00+00:00,173.0,,235.0,
2015-04-24 00:00:00+00:00,164.0,,229.0,
2015-04-25 00:00:00+00:00,160.0,,219.0,
2015-04-26 00:00:00+00:00,154.0,,215.0,
2015-04-27 00:00:00+00:00,152.0,,208.0,
2015-04-28 00:00:00+00:00,147.0,,202.0,
2015-04-29 00:00:00+00:00,144.0,,203.0,
2015-04-30 00:00:00+00:00,143.0,,200.0,
2015-05-01 00:00:00+00:00,140.0,,196.0,
2015-05-02 00:00:00+00:00,145.0,,199.0,
2015-05-03 00:00:00+00:00,152.0,,208.0,
2015-05-04 00:00:00+00:00,160.0,,218.0,
2015-05-05 00:00:00+00:00,163.0,,220.0,
2015-05-06 00:00:00+00:00,166.0,,216.0,
2015-05-07 00:00:00+00:00,164.0,,214.0,
2015-05-08 00:00:00+00:00,168.0,,221.0,
2015-05-09 00:00:00+00:00,170.0,,219.0,
2015-05-10 00:00:00+00:00,170.0,,219.0,
2015-05-11 00:00:00+00:00,166.0,,216.0,
2015-05-12 00:00:00+00:00,168.0,,213.0,
2015-05-13 00:00:00+00:00,165.0,,210.0,
2015-05-14 00:00:00+00:00,160.0,,210.0,
2015-05-15 00:00:00+00:00,154.0,,217.0,
2015-05-16 00:00:00+00:00,159.0,,216.0,
2015-05-17 00:00:00+00:00,164.0,,212.0,
2015-05-18 00:00:00+00:00,167.0,,206.0,
2015-05-19 00:00:00+00:00,169.0,,206.0,
2015-05-20 00:00:00+00:00,170.0,,212.0,
2015-05-21 00:00:00+00:00,169.0,,214.0,
2015-05-22 00:00:00+00:00,166.0,,211.0,
2015-05-23 00:00:00+00:00,167.0,,218.0,
2015-05-24 00:00:00+00:00,168.0,,224.0,
2015-05-25 00:00:00+00:00,167.0,,216.0,
2015-05-26 00:00:00+00:00,166.0,,210.0,
2015-05-27 00:00:00+00:00,165.0,,208.0,
2015-05-28 00:00:00+00:00,164.0,,212.0,
2015-05-29 00:00:00+00:00,160.0,,208.0,
2015-05-30 00:00:00+00:00,155.0,,205.0,
2015-05-31 00:00:00+00:00,150.0,,201.0,
2015-06-01 00:00:00+00:00,147.0,,197.0,
2015-06-02 00:00:00+00:00,142.0,,195.0,
2015-06-03 00:00:00+00:00,143.0,,194.0,
2015-06-04 00:00:00+00:00,138.0,,197.0,
2015-06-05 00:00:00+00:00,135.0,,205.0,
2015-06-06 00:00:00+00:00,137.0,,213.0,
2015-06-07 00:00:00+00:00,139.0,,216.0,
2015-06-08 00:00:00+00:00,140.0,,215.0,
2015-06-09 00:00:00+00:00,146.0,,212.0,
2015-06-10 00:00:00+00:00,151.0,,214.0,
2015-06-11 00:00:00+00:00,154.0,,222.0,
2015-06-12 00:00:00+00:00,158.0,,230.0,
2015-06-13 00:00:00+00:00,164.0,,228.0,
2015-06-14 00:00:00+00:00,163.0,,222.0,
2015-06-15 00:00:00+00:00,160.0,,216.0,
2015-06-16 00:00:00+00:00,161.0,,211.0,
2015-06-17 00:00:00+00:00,159.0,,213.0,
2015-06-18 00:00:00+00:00,154.0,,213.0,
2015-06-19 00:00:00+00:00,151.0,,217.0,
2015-06-20 00:00:00+00:00,156.0,,215.0,
2015-06-21 00:00:00+00:00,153.0,,213.0,
2015-06-22 00:00:00+00:00,153.0,,217.0,
2015-06-23 00:00:00+00:00,158.0,,215.0,
2015-06-24 00:00:00+00:00,163.0,,213.0,
2015-06-25 00:00:00+00:00,158.0,,215.0,
2015-06-26 00:00:00+00:00,152.0,,212.0,
2015-06-27 00:00:00+00:00,147.0,,206.0,
2015-06-28 00:00:00+00:00,143.0,,203.0,
2015-06-29 00:00:00+00:00,143.0,,198.0,
2015-06-30 00:00:00+00:00,145.0,,196.0,
2015-07-01 00:00:00+00:00,142.0,,198.0,
2015-07-02 00:00:00+00:00,142.0,,198.0,
2015-07-03 00:00:00+00:00,142.0,,201.0,
2015-07-04 00:00:00+00:00,143.0,,196.0,
2015-07-05 00:00:00+00:00,147.0,,190.0,
2015-07-06 00:00:00+00:00,147.0,,191.0,
2015-07-07 00:00:00+00:00,145.0,,194.0,
2015-07-08 00:00:00+00:00,144.0,,194.0,
2015-07-09 00:00:00+00:00,142.0,,191.0,
2015-07-10 00:00:00+00:00,140.0,,188.0,
2015-07-11 00:00:00+00:00,139.0,,190.0,
2015-07-12 00:00:00+00:00,135.0,,189.0,
2015-07-13 00:00:00+00:00,134.0,,187.0,
2015-07-14 00:00:00+00:00,129.0,,186.0,
2015-07-15 00:00:00+00:00,124.0,,178.0,
2015-07-16 00:00:00+00:00,118.0,,172.0,
2015-07-17 00:00:00+00:00,113.0,,166.0,
2015-07-18 00:00:00+00:00,113.0,,161.0,
2015-07-19 00:00:00+00:00,117.0,,157.0,
2015-07-20 00:00:00+00:00,115.0,,156.0,
2015-07-21 00:00:00+00:00,119.0,,163.0,
2015-07-22 00:00:00+00:00,120.0,,163.0,
2015-07-23 00:00:00+00:00,120.0,,169.0,
2015-07-24 00:00:00+00:00,119.0,,175.0,
2015-07-25 00:00:00+00:00,122.0,,177.0,
2015-07-26 00:00:00+00:00,123.0,,179.0,
2015-07-27 00:00:00+00:00,125.0,,175.0,
2015-07-28 00:00:00+00:00,130.0,,169.0,
2015-07-29 00:00:00+00:00,134.0,,170.0,
2015-07-30 00:00:00+00:00,134.0,,173.0,
2015-07-31 00:00:00+00:00,128.0,,174.0,
2015-08-01 00:00:00+00:00,127.0,,178.0,
2015-08-02 00:00:00+00:00,126.0,,179.0,
2015-08-03 00:00:00+00:00,129.0,,178.0,
2015-08-04 00:00:00+00:00,128.0,,181.0,
2015-08-05 00:00:00+00:00,128.0,,174.0,
2015-08-06 00:00:00+00:00,127.0,,170.0,
2015-08-07 00:00:00+00:00,125.0,,165.0,
2015-08-08 00:00:00+00:00,121.0,,165.0,
2015-08-09 00:00:00+00:00,114.0,,165.0,
2015-08-10 00:00:00+00:00,109.0,,169.0,
2015-08-11 00:00:00+00:00,106.0,,161.0,
2015-08-12 00:00:00+00:00,109.0,,155.0,
2015-08-13 00:00:00+00:00,112.0,,150.0,
2015-08-14 00:00:00+00:00,111.0,,149.0,
2015-08-15 00:00:00+00:00,107.0,,149.0,
2015-08-16 00:00:00+00:00,104.0,,146.0,
2015-08-17 00:00:00+00:00,101.0,,144.0,
2015-08-18 00:00:00+00:00,100.0,,139.0,
2015-08-19 00:00:00+00:00,105.0,,134.0,
2015-08-20 00:00:00+00:00,104.0,,134.0,
2015-08-21 00:00:00+00:00,101.0,,139.0,
2015-08-22 00:00:00+00:00,101.0,,142.0,
2015-08-23 00:00:00+00:00,100.0,,147.0,
2015-08-24 00:00:00+00:00,100.0,,147.0,
2015-08-25 00:00:00+00:00,100.0,,143.0,
2015-08-26 00:00:00+00:00,101.0,,145.0,
2015-08-27 00:00:00+00:00,104.0,,142.0,
2015-08-28 00:00:00+00:00,104.0,,142.0,
2015-08-29 00:00:00+00:00,101.0,,140.0,
2015-08-30 00:00:00+00:00,99.0,,140.0,
2015-08-31 00:00:00+00:00,96.0,,135.0,
2015-09-01 00:00:00+00:00,99.0,,132.0,
2015-09-02 00:00:00+00:00,97.0,,133.0,
2015-09-03 00:00:00+00:00,97.0,,136.0,
2015-09-04 00:00:00+00:00,94.0,,140.0,
2015-09-05 00:00:00+00:00,95.0,,145.0,
2015-09-06 00:00:00+00:00,96.0,,145.0,
2015-09-07 00:00:00+00:00,95.0,,144.0,
2015-09-08 00:00:00+00:00,98.0,,141.0,
2015-09-09 00:00:00+00:00,99.0,,139.0,
2015-09-10 00:00:00+00:00,102.0,,139.0,
2015-09-11 00:00:00+00:00,100.0,,144.0,
2015-09-12 00:00:00+00:00,100.0,,148.0,
2015-09-13 00:00:00+00:00,102.0,,143.0,
2015-09-14 00:00:00+00:00,104.0,,141.0,
2015-09-15 00:00:00+00:00,107.0,,140.0,
2015-09-16 00:00:00+00:00,107.0,,140.0,
2015-09-17 00:00:00+00:00,108.0,,142.0,
2015-09-18 00:00:00+00:00,111.0,,138.0,
2015-09-19 00:00:00+00:00,109.0,,136.0,
2015-09-20 00:00:00+00:00,109.0,,136.0,
2015-09-21 00:00:00+00:00,108.0,,138.0,
2015-09-22 00:00:00+00:00,107.0,,136.0,
2015-09-23 00:00:00+00:00,105.0,,139.0,
2015-09-24 00:00:00+00:00,103.0,,144.0,
2015-09-25 00:00:00+00:00,104.0,,148.0,
2015-09-26 00:00:00+00:00,108.0,,154.0,
2015-09-27 00:00:00+00:00,108.0,,154.0,
2015-09-28 00:00:00+00:00,107.0,,157.0,
2015-09-29 00:00:00+00:00,109.0,,155.0,
2015-09-30 00:00:00+00:00,107.0,,157.0,
2015-10-01 00:00:00+00:00,111.0,,161.0,
2015-10-02 00:00:00+00:00,111.0,,161.0,
2015-10-03 00:00:00+00:00,111.0,,161.0,
2015-10-06 00:00:00+00:00,133.0,,198.0,
2015-10-07 00:00:00+00:00,137.0,,199.0,
2015-10-08 00:00:00+00:00,144.0,,206.0,
2015-10-09 00:00:00+00:00,151.0,,216.0,
2015-10-10 00:00:00+00:00,154.0,,223.0,
2015-10-11 00:00:00+00:00,157.0,,212.0,
2015-10-12 00:00:00+00:00,153.0,,206.0,
2015-10-13 00:00:00+00:00,152.0,,199.0,
2015-10-14 00:00:00+00:00,151.0,,192.0,
2015-10-15 00:00:00+00:00,153.0,,191.0,
2015-10-16 00:00:00+00:00,150.0,,189.0,
