,raw_avgHighPrice,raw_avgLowPrice,raw_highPriceVolume,raw_lowPriceVolume,proc_avgHighPrice,proc_avgLowPrice,proc_highPriceVolume,proc_lowPriceVolume
2026-03-20 06:00:00+00:00,139.0,138.0,4437.0,3287.0,165,159.0,30262,31746
2026-03-20 12:00:00+00:00,139.0,138.0,2890.0,4617.0,167,163.0,25454,18816
2026-03-20 18:00:00+00:00,140.0,138.0,11728.0,9550.0,169,163.0,24416,13338
2026-03-21 00:00:00+00:00,138.0,137.0,1455.0,5287.0,174,168.0,24900,16182
2026-03-21 06:00:00+00:00,138.0,138.0,2263.0,1341.0,175,168.0,5410,13957
2026-03-21 12:00:00+00:00,137.0,137.0,2711.0,1154.0,174,166.0,17884,17179
2026-03-21 18:00:00+00:00,138.0,138.0,2172.0,7099.0,174,167.0,54768,28760
2026-03-22 00:00:00+00:00,142.0,138.0,3853.0,12579.0,172,165.0,21446,20850
2026-03-22 06:00:00+00:00,142.0,140.0,3647.0,4025.0,168,164.0,48107,60541
2026-03-22 12:00:00+00:00,141.0,139.0,13501.0,4242.0,173,165.0,42695,18231
2026-03-22 18:00:00+00:00,146.0,142.0,9082.0,16929.0,172,164.0,66146,15732
2026-03-23 00:00:00+00:00,142.0,141.0,1707.0,8141.0,174,167.0,53961,22558
2026-03-23 06:00:00+00:00,149.0,143.0,3317.0,1454.0,175,168.0,17379,13607
2026-03-23 12:00:00+00:00,145.0,142.0,1320.0,2502.0,169,167.0,29451,13389
2026-03-23 18:00:00+00:00,150.0,143.0,12750.0,5213.0,163,155.0,37333,68360
2026-03-24 00:00:00+00:00,142.0,144.0,4063.0,3568.0,164,156.0,24518,33677
2026-03-24 06:00:00+00:00,143.0,143.0,895.0,1813.0,164,157.0,26101,30603
2026-03-24 12:00:00+00:00,141.0,142.0,10302.0,19454.0,163,157.0,16852,24054
2026-03-24 18:00:00+00:00,142.0,139.0,14317.0,7185.0,163,157.0,32658,9848
2026-03-25 00:00:00+00:00,145.0,142.0,3514.0,4593.0,162,158.0,23615,4391
2026-03-25 06:00:00+00:00,145.0,145.0,1274.0,1655.0,162,156.0,12378,933
2026-03-25 12:00:00+00:00,147.0,145.0,2996.0,2782.0,157,157.0,33261,5512
2026-03-25 18:00:00+00:00,147.0,144.0,7219.0,7135.0,163,157.0,26889,22053
2026-03-26 00:00:00+00:00,143.0,142.0,221.0,835.0,161,160.0,1466,85
2026-03-26 06:00:00+00:00,142.0,142.0,4313.0,1518.0,163,158.0,50406,9898
2026-03-26 12:00:00+00:00,144.0,149.0,5495.0,4481.0,168,164.0,36981,42142
2026-03-26 18:00:00+00:00,142.0,142.0,6869.0,6816.0,172,162.0,44362,23240
2026-03-27 00:00:00+00:00,142.0,145.0,2142.0,7197.0,170,162.0,40426,37041
2026-03-27 06:00:00+00:00,140.0,142.0,1119.0,2835.0,168,163.0,32136,9721
2026-03-27 12:00:00+00:00,145.0,141.0,4031.0,4440.0,170,163.0,36189,33029
2026-03-27 18:00:00+00:00,143.0,142.0,7865.0,2014.0,170,164.0,52790,30998
2026-03-28 00:00:00+00:00,137.0,127.0,15742.0,4940.0,170,162.0,30502,16051
2026-03-28 06:00:00+00:00,141.0,139.0,1005.0,2934.0,170,160.0,27695,15944
2026-03-28 12:00:00+00:00,137.0,130.0,2453.0,6438.0,169,162.0,32895,19625
2026-03-28 18:00:00+00:00,139.0,130.0,502.0,2086.0,169,162.0,6173,2913
2026-03-29 00:00:00+00:00,138.0,137.0,132.0,70.0,168,163.0,2518,147
2026-03-29 06:00:00+00:00,137.0,132.0,873.0,3092.0,167,161.0,13418,14265
