,raw_price,raw_volume,proc_price,proc_volume
2015-03-28 00:00:00+00:00,39.0,,214.0,
2015-03-29 00:00:00+00:00,41.0,,216.0,
2015-03-30 00:00:00+00:00,41.0,,218.0,
2015-03-31 00:00:00+00:00,39.0,,217.0,
2015-04-01 00:00:00+00:00,37.0,,212.0,
2015-04-02 00:00:00+00:00,36.0,,212.0,
2015-04-03 00:00:00+00:00,36.0,,216.0,
2015-04-04 00:00:00+00:00,37.0,,219.0,
2015-04-05 00:00:00+00:00,38.0,,216.0,
2015-04-06 00:00:00+00:00,40.0,,209.0,
2015-04-07 00:00:00+00:00,42.0,,204.0,
2015-04-08 00:00:00+00:00,44.0,,202.0,
2015-04-09 00:00:00+00:00,46.0,,199.0,
2015-04-10 00:00:00+00:00,49.0,,202.0,
2015-04-11 00:00:00+00:00,51.0,,207.0,
2015-04-12 00:00:00+00:00,54.0,,212.0,
2015-04-13 00:00:00+00:00,57.0,,216.0,
2015-04-14 00:00:00+00:00,56.0,,215.0,
2015-04-15 00:00:00+00:00,55.0,,213.0,
2015-04-16 00:00:00+00:00,57.0,,212.0,
2015-04-17 00:00:00+00:00,58.0,,212.0,
2015-04-18 00:00:00+00:00,60.0,,212.0,
2015-04-19 00:00:00+00:00,62.0,,213.0,
2015-04-20 00:00:00+00:00,62.0,,211.0,
2015-04-21 00:00:00+00:00,60.0,,210.0,
2015-04-22 00:00:00+00:00,58.0,,214.0,
2015-04-23 00:00:00+00:00,56.0,,221.0,
2015-04-24 00:00:00+00:00,55.0,,230.0,
2015-04-25 00:00:00+00:00,56.0,,238.0,
2015-04-26 00:00:00+00:00,55.0,,245.0,
2015-04-27 00:00:00+00:00,54.0,,233.0,
2015-04-28 00:00:00+00:00,53.0,,233.0,
2015-04-29 00:00:00+00:00,52.0,,239.0,
2015-04-30 00:00:00+00:00,55.0,,240.0,
2015-05-01 00:00:00+00:00,57.0,,244.0,
2015-05-02 00:00:00+00:00,60.0,,251.0,
2015-05-03 00:00:00+00:00,63.0,,248.0,
2015-05-04 00:00:00+00:00,67.0,,241.0,
2015-05-05 00:00:00+00:00,69.0,,235.0,
2015-05-06 00:00:00+00:00,69.0,,230.0,
2015-05-07 00:00:00+00:00,71.0,,228.0,
2015-05-08 00:00:00+00:00,74.0,,231.0,
2015-05-09 00:00:00+00:00,78.0,,226.0,
2015-05-10 00:00:00+00:00,82.0,,219.0,
2015-05-11 00:00:00+00:00,80.0,,224.0,
2015-05-12 00:00:00+00:00,76.0,,222.0,
2015-05-13 00:00:00+00:00,72.0,,218.0,
2015-05-14 00:00:00+00:00,68.0,,220.0,
2015-05-15 00:00:00+00:00,65.0,,218.0,
2015-05-16 00:00:00+00:00,65.0,,214.0,
2015-05-17 00:00:00+00:00,68.0,,212.0,
2015-05-18 00:00:00+00:00,69.0,,210.0,
2015-05-19 00:00:00+00:00,66.0,,205.0,
2015-05-20 00:00:00+00:00,65.0,,201.0,
2015-05-21 00:00:00+00:00,64.0,,203.0,
2015-05-22 00:00:00+00:00,67.0,,205.0,
2015-05-23 00:00:00+00:00,70.0,,208.0,
2015-05-24 00:00:00+00:00,74.0,,212.0,
2015-05-25 00:00:00+00:00,78.0,,221.0,
2015-05-26 00:00:00+00:00,81.0,,224.0,
2015-05-27 00:00:00+00:00,84.0,,222.0,
2015-05-28 00:00:00+00:00,87.0,,217.0,
2015-05-29 00:00:00+00:00,88.0,,215.0,
2015-05-30 00:00:00+00:00,89.0,,215.0,
2015-05-31 00:00:00+00:00,85.0,,219.0,
2015-06-01 00:00:00+00:00,80.0,,223.0,
2015-06-02 00:00:00+00:00,76.0,,232.0,
2015-06-03 00:00:00+00:00,74.0,,232.0,
2015-06-04 00:00:00+00:00,72.0,,231.0,
2015-06-05 00:00:00+00:00,71.0,,235.0,
2015-06-06 00:00:00+00:00,69.0,,244.0,
2015-06-07 00:00:00+00:00,69.0,,255.0,
2015-06-08 00:00:00+00:00,67.0,,263.0,
2015-06-09 00:00:00+00:00,66.0,,261.0,
2015-06-10 00:00:00+00:00,67.0,,255.0,
2015-06-11 00:00:00+00:00,67.0,,251.0,
2015-06-12 00:00:00+00:00,67.0,,248.0,
2015-06-13 00:00:00+00:00,69.0,,244.0,
2015-06-14 00:00:00+00:00,72.0,,233.0,
2015-06-15 00:00:00+00:00,75.0,,231.0,
2015-06-16 00:00:00+00:00,72.0,,238.0,
2015-06-17 00:00:00+00:00,69.0,,247.0,
2015-06-18 00:00:00+00:00,68.0,,253.0,
2015-06-19 00:00:00+00:00,69.0,,256.0,
2015-06-20 00:00:00+00:00,70.0,,262.0,
2015-06-21 00:00:00+00:00,70.0,,262.0,
2015-06-22 00:00:00+00:00,67.0,,263.0,
2015-06-23 00:00:00+00:00,64.0,,263.0,
2015-06-24 00:00:00+00:00,63.0,,262.0,
2015-06-25 00:00:00+00:00,61.0,,255.0,
2015-06-26 00:00:00+00:00,62.0,,246.0,
2015-06-27 00:00:00+00:00,63.0,,233.0,
2015-06-28 00:00:00+00:00,65.0,,222.0,
2015-06-29 00:00:00+00:00,65.0,,226.0,
2015-06-30 00:00:00+00:00,63.0,,224.0,
2015-07-01 00:00:00+00:00,62.0,,226.0,
2015-07-02 00:00:00+00:00,61.0,,225.0,
2015-07-03 00:00:00+00:00,61.0,,224.0,
2015-07-04 00:00:00+00:00,62.0,,223.0,
2015-07-05 00:00:00+00:00,63.0,,213.0,
2015-07-06 00:00:00+00:00,62.0,,215.0,
2015-07-07 00:00:00+00:00,64.0,,218.0,
2015-07-08 00:00:00+00:00,66.0,,216.0,
2015-07-09 00:00:00+00:00,68.0,,220.0,
2015-07-10 00:00:00+00:00,70.0,,221.0,
2015-07-11 00:00:00+00:00,74.0,,226.0,
2015-07-12 00:00:00+00:00,78.0,,219.0,
2015-07-13 00:00:00+00:00,81.0,,215.0,
2015-07-14 00:00:00+00:00,76.0,,213.0,
2015-07-15 00:00:00+00:00,72.0,,218.0,
2015-07-16 00:00:00+00:00,70.0,,215.0,
2015-07-17 00:00:00+00:00,71.0,,208.0,
2015-07-18 00:00:00+00:00,74.0,,203.0,
2015-07-19 00:00:00+00:00,75.0,,200.0,
2015-07-20 00:00:00+00:00,74.0,,192.0,
2015-07-21 00:00:00+00:00,70.0,,193.0,
2015-07-22 00:00:00+00:00,67.0,,196.0,
2015-07-23 00:00:00+00:00,66.0,,194.0,
2015-07-24 00:00:00+00:00,66.0,,202.0,
2015-07-25 00:00:00+00:00,67.0,,212.0,
2015-07-26 00:00:00+00:00,65.0,,212.0,
2015-07-27 00:00:00+00:00,63.0,,218.0,
2015-07-28 00:00:00+00:00,61.0,,225.0,
2015-07-29 00:00:00+00:00,60.0,,235.0,
2015-07-30 00:00:00+00:00,60.0,,241.0,
2015-07-31 00:00:00+00:00,60.0,,230.0,
2015-08-01 00:00:00+00:00,60.0,,227.0,
2015-08-02 00:00:00+00:00,61.0,,231.0,
2015-08-03 00:00:00+00:00,61.0,,235.0,
2015-08-04 00:00:00+00:00,63.0,,228.0,
2015-08-05 00:00:00+00:00,65.0,,219.0,
2015-08-06 00:00:00+00:00,66.0,,217.0,
2015-08-07 00:00:00+00:00,66.0,,225.0,
2015-08-08 00:00:00+00:00,67.0,,228.0,
2015-08-09 00:00:00+00:00,69.0,,224.0,
2015-08-10 00:00:00+00:00,69.0,,223.0,
2015-08-11 00:00:00+00:00,71.0,,219.0,
2015-08-12 00:00:00+00:00,74.0,,215.0,
2015-08-13 00:00:00+00:00,78.0,,207.0,
2015-08-14 00:00:00+00:00,80.0,,201.0,
2015-08-15 00:00:00+00:00,83.0,,191.0,
2015-08-16 00:00:00+00:00,86.0,,191.0,
2015-08-17 00:00:00+00:00,88.0,,194.0,
2015-08-18 00:00:00+00:00,83.0,,202.0,
2015-08-19 00:00:00+00:00,78.0,,210.0,
2015-08-20 00:00:00+00:00,74.0,,219.0,
2015-08-21 00:00:00+00:00,70.0,,229.0,
2015-08-22 00:00:00+00:00,67.0,,234.0,
2015-08-23 00:00:00+00:00,65.0,,233.0,
2015-08-24 00:00:00+00:00,63.0,,234.0,
2015-08-25 00:00:00+00:00,63.0,,237.0,
2015-08-26 00:00:00+00:00,65.0,,242.0,
2015-08-27 00:00:00+00:00,66.0,,242.0,
2015-08-28 00:00:00+00:00,67.0,,233.0,
2015-08-29 00:00:00+00:00,67.0,,233.0,
2015-08-30 00:00:00+00:00,67.0,,230.0,
2015-08-31 00:00:00+00:00,65.0,,233.0,
2015-09-01 00:00:00+00:00,65.0,,223.0,
2015-09-02 00:00:00+00:00,65.0,,222.0,
2015-09-03 00:00:00+00:00,66.0,,226.0,
2015-09-04 00:00:00+00:00,67.0,,232.0,
2015-09-05 00:00:00+00:00,68.0,,223.0,
2015-09-06 00:00:00+00:00,69.0,,212.0,
2015-09-07 00:00:00+00:00,70.0,,201.0,
2015-09-08 00:00:00+00:00,70.0,,195.0,
2015-09-09 00:00:00+00:00,70.0,,198.0,
2015-09-10 00:00:00+00:00,68.0,,205.0,
2015-09-11 00:00:00+00:00,69.0,,208.0,
2015-09-12 00:00:00+00:00,68.0,,212.0,
2015-09-13 00:00:00+00:00,67.0,,219.0,
2015-09-14 00:00:00+00:00,65.0,,225.0,
2015-09-15 00:00:00+00:00,66.0,,224.0,
2015-09-16 00:00:00+00:00,66.0,,216.0,
2015-09-17 00:00:00+00:00,68.0,,214.0,
2015-09-18 00:00:00+00:00,67.0,,208.0,
2015-09-19 00:00:00+00:00,68.0,,213.0,
2015-09-20 00:00:00+00:00,68.0,,210.0,
2015-09-21 00:00:00+00:00,67.0,,207.0,
2015-09-22 00:00:00+00:00,67.0,,201.0,
2015-09-23 00:00:00+00:00,67.0,,204.0,
2015-09-24 00:00:00+00:00,67.0,,207.0,
2015-09-25 00:00:00+00:00,66.0,,211.0,
2015-09-26 00:00:00+00:00,67.0,,218.0,
2015-09-27 00:00:00+00:00,67.0,,218.0,
