,raw_avgHighPrice,raw_avgLowPrice,raw_highPriceVolume,raw_lowPriceVolume,proc_avgHighPrice,proc_avgLowPrice,proc_highPriceVolume,proc_lowPriceVolume
2026-03-20 06:00:00+00:00,81,80,346719,197677,147,141,47572,60447
2026-03-20 12:00:00+00:00,83,81,527186,338622,144,139,66936,54802
2026-03-20 18:00:00+00:00,82,80,481093,577873,142,138,65180,40599
2026-03-21 00:00:00+00:00,82,81,589705,410379,141,139,132387,74196
2026-03-21 06:00:00+00:00,82,80,334015,277323,141,138,56931,41472
2026-03-21 12:00:00+00:00,83,82,239708,168497,142,139,42270,22011
2026-03-21 18:00:00+00:00,83,81,355153,444558,144,140,104401,121248
2026-03-22 00:00:00+00:00,82,80,193057,303091,142,137,73734,51514
2026-03-22 06:00:00+00:00,81,80,403944,409517,145,140,79857,43719
2026-03-22 12:00:00+00:00,82,81,525769,503765,145,140,97178,61898
2026-03-22 18:00:00+00:00,82,81,481419,626725,146,141,138427,105461
2026-03-23 00:00:00+00:00,82,81,318568,442592,146,142,104480,81471
2026-03-23 06:00:00+00:00,81,79,561064,653507,141,138,78633,51153
2026-03-23 12:00:00+00:00,81,80,413473,455163,145,141,87235,46292
2026-03-23 18:00:00+00:00,82,81,483076,378543,145,142,97269,65407
2026-03-24 00:00:00+00:00,81,80,413647,647673,146,142,111046,93611
2026-03-24 06:00:00+00:00,81,79,285910,267966,151,144,72109,77845
2026-03-24 12:00:00+00:00,83,81,269213,352272,147,143,110619,57182
2026-03-24 18:00:00+00:00,82,81,235250,619589,149,143,87545,67323
2026-03-25 00:00:00+00:00,82,81,561062,422446,147,143,137879,53851
2026-03-25 06:00:00+00:00,81,81,283094,298283,144,143,127076,140331
2026-03-25 12:00:00+00:00,82,81,378452,286100,148,143,103506,79279
2026-03-25 18:00:00+00:00,83,81,682812,498801,147,142,74553,72051
2026-03-26 00:00:00+00:00,82,80,45814,64869,146,143,16491,9624
