,raw_price,raw_volume,proc_price,proc_volume
2015-03-28 00:00:00+00:00,11780.0,,13631.0,
2015-03-29 00:00:00+00:00,11930.0,,13729.0,
2015-03-30 00:00:00+00:00,12138.0,,13749.0,
2015-03-31 00:00:00+00:00,12172.0,,13749.0,
2015-04-01 00:00:00+00:00,12273.0,,13718.0,
2015-04-02 00:00:00+00:00,12225.0,,13658.0,
2015-04-03 00:00:00+00:00,12216.0,,13560.0,
2015-04-04 00:00:00+00:00,12116.0,,13416.0,
2015-04-05 00:00:00+00:00,11983.0,,13457.0,
2015-04-06 00:00:00+00:00,11910.0,,13298.0,
2015-04-07 00:00:00+00:00,11938.0,,13349.0,
2015-04-08 00:00:00+00:00,11968.0,,13353.0,
2015-04-09 00:00:00+00:00,12027.0,,13373.0,
2015-04-10 00:00:00+00:00,12063.0,,13369.0,
2015-04-11 00:00:00+00:00,12034.0,,13514.0,
2015-04-12 00:00:00+00:00,12066.0,,13504.0,
2015-04-13 00:00:00+00:00,12085.0,,13516.0,
2015-04-14 00:00:00+00:00,12098.0,,13480.0,
2015-04-15 00:00:00+00:00,12186.0,,13512.0,
2015-04-16 00:00:00+00:00,12173.0,,13664.0,
2015-04-17 00:00:00+00:00,12249.0,,13657.0,
2015-04-18 00:00:00+00:00,12304.0,,13665.0,
2015-04-19 00:00:00+00:00,12305.0,,13695.0,
2015-04-20 00:00:00+00:00,12089.0,,13801.0,
2015-04-21 00:00:00+00:00,12204.0,,13920.0,
2015-04-22 00:00:00+00:00,12293.0,,13852.0,
2015-04-23 00:00:00+00:00,12409.0,,13748.0,
2015-04-24 00:00:00+00:00,12444.0,,13836.0,
2015-04-25 00:00:00+00:00,12487.0,,13928.0,
2015-04-26 00:00:00+00:00,12534.0,,13919.0,
2015-04-27 00:00:00+00:00,12574.0,,13979.0,
2015-04-28 00:00:00+00:00,12616.0,,14002.0,
2015-04-29 00:00:00+00:00,12622.0,,13902.0,
2015-04-30 00:00:00+00:00,12513.0,,13902.0,
2015-05-01 00:00:00+00:00,12474.0,,13964.0,
2015-05-02 00:00:00+00:00,12348.0,,13958.0,
2015-05-03 00:00:00+00:00,12166.0,,13903.0,
2015-05-04 00:00:00+00:00,12264.0,,13969.0,
2015-05-05 00:00:00+00:00,12355.0,,14011.0,
2015-05-06 00:00:00+00:00,12430.0,,14043.0,
2015-05-07 00:00:00+00:00,12426.0,,14007.0,
2015-05-08 00:00:00+00:00,12410.0,,13997.0,
2015-05-09 00:00:00+00:00,12257.0,,13910.0,
2015-05-10 00:00:00+00:00,12208.0,,13888.0,
2015-05-11 00:00:00+00:00,12252.0,,13859.0,
2015-05-12 00:00:00+00:00,12311.0,,13945.0,
2015-05-13 00:00:00+00:00,12358.0,,13916.0,
2015-05-14 00:00:00+00:00,12431.0,,13927.0,
2015-05-15 00:00:00+00:00,12576.0,,13974.0,
2015-05-16 00:00:00+00:00,12438.0,,13980.0,
2015-05-17 00:00:00+00:00,12418.0,,13919.0,
2015-05-18 00:00:00+00:00,12524.0,,13874.0,
2015-05-19 00:00:00+00:00,12477.0,,13852.0,
2015-05-20 00:00:00+00:00,12460.0,,13905.0,
2015-05-21 00:00:00+00:00,12472.0,,13905.0,
2015-05-22 00:00:00+00:00,12491.0,,13966.0,
2015-05-23 00:00:00+00:00,12501.0,,13901.0,
2015-05-24 00:00:00+00:00,12432.0,,13858.0,
2015-05-25 00:00:00+00:00,12408.0,,13918.0,
2015-05-26 00:00:00+00:00,12414.0,,13913.0,
2015-05-27 00:00:00+00:00,12402.0,,13954.0,
2015-05-28 00:00:00+00:00,12339.0,,13910.0,
2015-05-29 00:00:00+00:00,12204.0,,13842.0,
2015-05-30 00:00:00+00:00,12153.0,,13723.0,
2015-05-31 00:00:00+00:00,11886.0,,13523.0,
2015-06-01 00:00:00+00:00,12026.0,,13772.0,
2015-06-02 00:00:00+00:00,11979.0,,13634.0,
2015-06-03 00:00:00+00:00,12032.0,,13467.0,
2015-06-04 00:00:00+00:00,12060.0,,13458.0,
2015-06-05 00:00:00+00:00,11971.0,,13341.0,
2015-06-06 00:00:00+00:00,11789.0,,13429.0,
2015-06-07 00:00:00+00:00,11855.0,,13466.0,
2015-06-08 00:00:00+00:00,11855.0,,13559.0,
2015-06-09 00:00:00+00:00,11901.0,,13536.0,
2015-06-10 00:00:00+00:00,11880.0,,13497.0,
2015-06-11 00:00:00+00:00,11773.0,,13464.0,
2015-06-12 00:00:00+00:00,11589.0,,13461.0,
2015-06-13 00:00:00+00:00,11451.0,,13368.0,
2015-06-14 00:00:00+00:00,11548.0,,13213.0,
2015-06-15 00:00:00+00:00,11545.0,,13102.0,
2015-06-16 00:00:00+00:00,11598.0,,13184.0,
