,raw_avgHighPrice,raw_avgLowPrice,raw_highPriceVolume,raw_lowPriceVolume,proc_avgHighPrice,proc_avgLowPrice,proc_highPriceVolume,proc_lowPriceVolume
2026-03-20 06:00:00+00:00,10129,10120,47176,205677,12191,12169,144159,383055
2026-03-20 12:00:00+00:00,10109,10051,90451,308298,12191,12172,166745,270745
2026-03-20 18:00:00+00:00,10120,10097,78034,208373,12194,12185,177042,190157
2026-03-21 00:00:00+00:00,10132,10073,77247,221189,12196,12189,134477,169452
2026-03-21 06:00:00+00:00,10115,10106,40181,153253,12200,12194,57726,262941
2026-03-21 12:00:00+00:00,10119,10107,31015,135442,12220,12209,56169,179314
2026-03-21 18:00:00+00:00,10153,10128,71730,235079,12235,12225,72861,331707
2026-03-22 00:00:00+00:00,10128,10109,60323,194583,12299,12254,52488,251112
2026-03-22 06:00:00+00:00,10132,10070,135862,195066,12239,12222,94125,202569
2026-03-22 12:00:00+00:00,10144,10128,87209,213138,12258,12249,123975,270925
2026-03-22 18:00:00+00:00,10165,10152,84098,204291,12252,12260,155953,326016
2026-03-23 00:00:00+00:00,10125,10124,80991,304567,12269,12268,121268,274770
2026-03-23 06:00:00+00:00,10192,10136,73949,237462,12255,12266,79061,234155
2026-03-23 12:00:00+00:00,10271,10155,94508,236871,12244,12236,137292,210236
2026-03-23 18:00:00+00:00,10172,10157,81854,250467,12256,12242,194832,301876
2026-03-24 00:00:00+00:00,10156,10140,95268,331753,12246,12235,149616,242288
2026-03-24 06:00:00+00:00,10195,10170,51568,142132,12238,12228,72218,202254
2026-03-24 12:00:00+00:00,10285,10186,86645,255742,12246,12233,112853,277403
2026-03-24 18:00:00+00:00,10259,10248,62421,223837,12248,12243,174754,271794
2026-03-25 00:00:00+00:00,10235,10201,84728,339295,12241,12237,147654,263485
2026-03-25 06:00:00+00:00,10282,10227,36259,171324,12240,12239,58091,213316
2026-03-25 12:00:00+00:00,10302,10237,74621,271268,12239,12236,72903,257443
2026-03-25 18:00:00+00:00,10294,10262,73357,250879,12259,12260,88482,343201
2026-03-26 00:00:00+00:00,10267,10270,7521,81906,12258,12316,12355,71127
2026-03-26 06:00:00+00:00,10279,10252,69390,156203,12263,12253,92724,202958
2026-03-26 12:00:00+00:00,10271,10238,86226,242793,12248,12244,106986,308589
2026-03-26 18:00:00+00:00,10286,10272,70051,212657,12244,12242,142827,242721
2026-03-27 00:00:00+00:00,10329,10249,119726,250482,12246,12237,119510,295255
2026-03-27 06:00:00+00:00,10275,10252,67031,184165,12247,12239,81440,216168
2026-03-27 12:00:00+00:00,10226,10170,79606,343906,12223,12216,148453,324726
2026-03-27 18:00:00+00:00,10249,10187,96576,312967,12218,12213,224431,274240
2026-03-28 00:00:00+00:00,10240,10127,116647,338423,12216,12210,187644,311737
2026-03-28 06:00:00+00:00,10247,10205,69695,236567,12224,12213,73052,227914
2026-03-28 12:00:00+00:00,10242,10129,109146,259088,12228,12210,177376,338054
2026-03-28 18:00:00+00:00,10253,10203,27284,88151,12228,12222,54770,85962
2026-03-29 00:00:00+00:00,10189,10206,1490,17044,12217,12215,16918,26665
2026-03-29 06:00:00+00:00,10190,10142,66679,208292,12225,12226,62327,264236
2026-03-29 12:00:00+00:00,10175,10107,137734,305610,12230,12226,186600,345125
2026-03-29 18:00:00+00:00,10150,10055,79305,260197,12233,12238,133786,307209
2026-03-30 00:00:00+00:00,10142,10058,118981,274024,12223,12229,146797,316284
2026-03-30 06:00:00+00:00,10154,10097,65673,179546,12223,12230,125236,159391
2026-03-30 12:00:00+00:00,10074,10042,66218,212061,12227,12223,114764,315985
2026-03-30 18:00:00+00:00,10099,10040,6392,15286,12219,12214,8590,13640
2026-03-31 00:00:00+00:00,10106,10078,85997,292826,12226,12215,126108,339817
2026-03-31 06:00:00+00:00,10122,10108,48003,203935,12228,12225,129455,171804
2026-03-31 12:00:00+00:00,10106,10077,68185,234827,12225,12216,199611,307597
2026-03-31 18:00:00+00:00,10161,10140,76977,268490,12223,12222,154586,205642
2026-04-01 00:00:00+00:00,10112,10111,81033,289481,12225,12225,141878,293988
2026-04-01 06:00:00+00:00,10158,10161,38318,184335,12223,12225,62963,260536
2026-04-01 12:00:00+00:00,10162,10155,62674,231538,12223,12221,174800,355561
2026-04-01 18:00:00+00:00,10187,10159,63263,234613,12222,12222,188257,245259
