timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2026-03-20 06:00:00+00:00,165,159.0,30262,31746
2026-03-20 12:00:00+00:00,167,163.0,25454,18816
2026-03-20 18:00:00+00:00,169,163.0,24416,13338
2026-03-21 00:00:00+00:00,174,168.0,24900,16182
2026-03-21 06:00:00+00:00,175,168.0,5410,13957
2026-03-21 12:00:00+00:00,174,166.0,17884,17179
2026-03-21 18:00:00+00:00,174,167.0,54768,28760
2026-03-22 00:00:00+00:00,172,165.0,21446,20850
2026-03-22 06:00:00+00:00,168,164.0,48107,60541
2026-03-22 12:00:00+00:00,173,165.0,42695,18231
2026-03-22 18:00:00+00:00,172,164.0,66146,15732
2026-03-23 00:00:00+00:00,174,167.0,53961,22558
2026-03-23 06:00:00+00:00,175,168.0,17379,13607
2026-03-23 12:00:00+00:00,169,167.0,29451,13389
2026-03-23 18:00:00+00:00,163,155.0,37333,68360
2026-03-24 00:00:00+00:00,164,156.0,24518,33677
2026-03-24 06:00:00+00:00,164,157.0,26101,30603
2026-03-24 12:00:00+00:00,163,157.0,16852,24054
2026-03-24 18:00:00+00:00,163,157.0,32658,9848
2026-03-25 00:00:00+00:00,162,158.0,23615,4391
2026-03-25 06:00:00+00:00,162,156.0,12378,933
2026-03-25 12:00:00+00:00,157,157.0,33261,5512
2026-03-25 18:00:00+00:00,163,157.0,26889,22053
2026-03-26 00:00:00+00:00,161,160.0,1466,85
2026-03-26 06:00:00+00:00,163,158.0,50406,9898
2026-03-26 12:00:00+00:00,168,164.0,36981,42142
2026-03-26 18:00:00+00:00,172,162.0,44362,23240
2026-03-27 00:00:00+00:00,170,162.0,40426,37041
2026-03-27 06:00:00+00:00,168,163.0,32136,9721
2026-03-27 12:00:00+00:00,170,163.0,36189,33029
2026-03-27 18:00:00+00:00,170,164.0,52790,30998
2026-03-28 00:00:00+00:00,170,162.0,30502,16051
2026-03-28 06:00:00+00:00,170,160.0,27695,15944
2026-03-28 12:00:00+00:00,169,162.0,32895,19625
2026-03-28 18:00:00+00:00,169,162.0,6173,2913
2026-03-29 00:00:00+00:00,168,163.0,2518,147
2026-03-29 06:00:00+00:00,167,161.0,13418,14265
2026-03-29 12:00:00+00:00,166,158.0,43312,36832
2026-03-29 18:00:00+00:00,166,159.0,30605,37478
2026-03-30 00:00:00+00:00,166,159.0,96415,39531
2026-03-30 06:00:00+00:00,164,157.0,30608,11308
2026-03-30 12:00:00+00:00,165,158.0,45845,27958
2026-03-30 18:00:00+00:00,164,157.0,1350,4686
2026-03-31 00:00:00+00:00,165,159.0,39194,28406
2026-03-31 06:00:00+00:00,165,156.0,34246,12094
2026-03-31 12:00:00+00:00,166,158.0,22370,14866
2026-03-31 18:00:00+00:00,165,156.0,39617,48611
2026-04-01 00:00:00+00:00,163,156.0,53584,8402
2026-04-01 06:00:00+00:00,163,153.0,20805,9537
2026-04-01 12:00:00+00:00,166,162.0,26624,14413
2026-04-01 18:00:00+00:00,165,160.0,52864,37977
2026-04-02 00:00:00+00:00,164,158.0,24557,33538
2026-04-02 06:00:00+00:00,163,156.0,37007,19391
2026-04-02 12:00:00+00:00,166,159.0,40420,14786
2026-04-02 18:00:00+00:00,165,157.0,72157,21153
2026-04-03 00:00:00+00:00,165,156.0,35263,24391
2026-04-03 06:00:00+00:00,164,157.0,29772,13010
2026-04-03 12:00:00+00:00,163,156.0,9370,13589
2026-04-03 18:00:00+00:00,164,156.0,25290,41877
2026-04-04 00:00:00+00:00,159,159.0,28084,24544
2026-04-04 06:00:00+00:00,159,162.0,21397,27329
2026-04-04 12:00:00+00:00,161,153.0,93917,22913
2026-04-04 18:00:00+00:00,159,152.0,39185,29351
2026-04-05 00:00:00+00:00,157,151.0,18993,23311
2026-04-05 06:00:00+00:00,157,151.0,35326,9184
2026-04-05 12:00:00+00:00,158,151.0,11637,3659
2026-04-05 18:00:00+00:00,155,149.0,29195,26064
2026-04-06 00:00:00+00:00,155,149.0,47130,30146
2026-04-06 06:00:00+00:00,155,148.0,43861,24330
2026-04-06 12:00:00+00:00,155,148.0,19410,28869
2026-04-06 18:00:00+00:00,152,148.0,32268,42504
2026-04-07 00:00:00+00:00,150,146.0,40784,23655
2026-04-07 06:00:00+00:00,149,143.0,36388,12048
2026-04-07 12:00:00+00:00,148,145.0,10580,3789
2026-04-07 18:00:00+00:00,149,144.0,23766,13821
2026-04-08 00:00:00+00:00,151,145.0,27685,18545
2026-04-08 06:00:00+00:00,152,144.0,27843,11108
2026-04-08 12:00:00+00:00,152,145.0,19979,6817
2026-04-08 18:00:00+00:00,151,143.0,16295,15735
2026-04-09 00:00:00+00:00,151,143.0,33642,13267
2026-04-09 06:00:00+00:00,152,144.0,57969,12602
2026-04-09 12:00:00+00:00,151,144.0,16317,24885
2026-04-09 18:00:00+00:00,151,143.0,33122,9642
2026-04-10 00:00:00+00:00,151,144.0,39966,15180
2026-04-10 06:00:00+00:00,151,143.0,32023,21287
2026-04-10 12:00:00+00:00,148,143.0,29367,15010
2026-04-10 18:00:00+00:00,149,146.0,22369,10111
2026-04-11 00:00:00+00:00,150,144.0,23546,6863
