timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2026-03-20 00:00:00+00:00,138.0,136,4026,10035
2026-03-20 06:00:00+00:00,139.0,138,4437,3287
2026-03-20 12:00:00+00:00,139.0,138,2890,4617
2026-03-20 18:00:00+00:00,140.0,138,11728,9550
2026-03-21 00:00:00+00:00,138.0,137,1455,5287
2026-03-21 06:00:00+00:00,138.0,138,2263,1341
2026-03-21 12:00:00+00:00,137.0,137,2711,1154
2026-03-21 18:00:00+00:00,138.0,138,2172,7099
2026-03-22 00:00:00+00:00,142.0,138,3853,12579
2026-03-22 06:00:00+00:00,142.0,140,3647,4025
2026-03-22 12:00:00+00:00,141.0,139,13501,4242
2026-03-22 18:00:00+00:00,146.0,142,9082,16929
2026-03-23 00:00:00+00:00,142.0,141,1707,8141
2026-03-23 06:00:00+00:00,149.0,143,3317,1454
2026-03-23 12:00:00+00:00,145.0,142,1320,2502
2026-03-23 18:00:00+00:00,150.0,143,12750,5213
2026-03-24 00:00:00+00:00,142.0,144,4063,3568
2026-03-24 06:00:00+00:00,143.0,143,895,1813
2026-03-24 12:00:00+00:00,141.0,142,10302,19454
2026-03-24 18:00:00+00:00,142.0,139,14317,7185
2026-03-25 00:00:00+00:00,145.0,142,3514,4593
2026-03-25 06:00:00+00:00,145.0,145,1274,1655
2026-03-25 12:00:00+00:00,147.0,145,2996,2782
2026-03-25 18:00:00+00:00,147.0,144,7219,7135
2026-03-26 00:00:00+00:00,143.0,142,221,835
2026-03-26 06:00:00+00:00,142.0,142,4313,1518
2026-03-26 12:00:00+00:00,144.0,149,5495,4481
2026-03-26 18:00:00+00:00,142.0,142,6869,6816
2026-03-27 00:00:00+00:00,142.0,145,2142,7197
2026-03-27 06:00:00+00:00,140.0,142,1119,2835
2026-03-27 12:00:00+00:00,145.0,141,4031,4440
2026-03-27 18:00:00+00:00,143.0,142,7865,2014
2026-03-28 00:00:00+00:00,137.0,127,15742,4940
2026-03-28 06:00:00+00:00,141.0,139,1005,2934
2026-03-28 12:00:00+00:00,137.0,130,2453,6438
2026-03-28 18:00:00+00:00,139.0,130,502,2086
2026-03-29 00:00:00+00:00,138.0,137,132,70
2026-03-29 06:00:00+00:00,137.0,132,873,3092
2026-03-29 12:00:00+00:00,135.0,117,5676,13313
2026-03-29 18:00:00+00:00,131.0,125,4018,4694
2026-03-30 00:00:00+00:00,122.0,120,3587,1877
2026-03-30 06:00:00+00:00,131.0,128,8277,10592
2026-03-30 12:00:00+00:00,129.0,121,2818,12219
2026-03-30 18:00:00+00:00,128.0,118,641,134
2026-03-31 00:00:00+00:00,124.0,112,10485,20970
2026-03-31 06:00:00+00:00,124.0,116,2103,4802
2026-03-31 12:00:00+00:00,123.0,115,9005,3410
2026-03-31 18:00:00+00:00,121.0,118,9449,27551
2026-04-01 00:00:00+00:00,121.0,115,26377,10601
2026-04-01 06:00:00+00:00,118.0,115,395,1977
2026-04-01 12:00:00+00:00,119.0,120,619,4849
2026-04-01 18:00:00+00:00,124.0,123,788,27361
2026-04-02 00:00:00+00:00,126.0,124,1680,14295
2026-04-02 06:00:00+00:00,132.0,124,12428,14643
2026-04-02 12:00:00+00:00,123.0,123,5232,6292
2026-04-02 18:00:00+00:00,126.0,123,5228,11340
2026-04-03 00:00:00+00:00,125.0,124,15762,2785
2026-04-03 06:00:00+00:00,126.0,125,1207,10362
2026-04-03 12:00:00+00:00,126.0,125,13,379
2026-04-03 18:00:00+00:00,126.0,127,5462,2527
2026-04-04 00:00:00+00:00,128.0,125,9565,1852
2026-04-04 06:00:00+00:00,125.0,125,5829,4770
2026-04-04 12:00:00+00:00,126.0,126,3556,3953
2026-04-04 18:00:00+00:00,126.0,125,4751,7523
2026-04-05 00:00:00+00:00,127.0,127,1440,8295
2026-04-05 06:00:00+00:00,129.0,125,9387,2553
2026-04-05 12:00:00+00:00,126.0,125,573,1562
2026-04-05 18:00:00+00:00,128.0,119,21662,3588
2026-04-06 00:00:00+00:00,124.0,120,15808,14964
2026-04-06 06:00:00+00:00,126.0,122,3209,24540
2026-04-06 12:00:00+00:00,123.0,122,4230,4039
2026-04-06 18:00:00+00:00,127.0,120,13128,4307
2026-04-07 00:00:00+00:00,121.0,120,1429,5268
2026-04-07 06:00:00+00:00,125.0,110,2274,5166
2026-04-07 12:00:00+00:00,121.0,120,1687,4724
2026-04-07 18:00:00+00:00,113.0,112,12808,12862
2026-04-08 00:00:00+00:00,122.0,121,3806,22306
2026-04-08 06:00:00+00:00,121.0,120,7489,5743
2026-04-08 12:00:00+00:00,119.0,119,2348,3272
2026-04-08 18:00:00+00:00,119.0,115,4309,14081
2026-04-09 00:00:00+00:00,115.0,116,35072,3253
2026-04-09 06:00:00+00:00,116.0,116,2844,9457
2026-04-09 12:00:00+00:00,117.0,117,400,6581
2026-04-09 18:00:00+00:00,117.0,116,3077,11390
2026-04-10 00:00:00+00:00,116.0,115,1911,2464
2026-04-10 06:00:00+00:00,123.0,117,28183,3383
2026-04-10 12:00:00+00:00,117.0,117,2524,8747
2026-04-10 18:00:00+00:00,117.0,115,1683,6945
2026-04-11 00:00:00+00:00,116.0,117,1372,2510
2026-04-11 06:00:00+00:00,116.0,116,1191,4940
2026-04-11 12:00:00+00:00,116.0,118,3556,10894
2026-04-11 18:00:00+00:00,116.0,116,1084,23466
2026-04-12 00:00:00+00:00,117.0,115,4775,4080
2026-04-12 06:00:00+00:00,116.0,116,822,10962
2026-04-12 12:00:00+00:00,117.0,115,358,6007
2026-04-12 18:00:00+00:00,116.0,116,2897,22968
2026-04-13 00:00:00+00:00,116.0,116,1712,9108
2026-04-13 06:00:00+00:00,116.0,116,1163,7468
2026-04-13 12:00:00+00:00,116.0,116,1658,4514
2026-04-13 18:00:00+00:00,116.0,115,1955,5587
2026-04-14 00:00:00+00:00,115.0,114,7246,7543
2026-04-14 06:00:00+00:00,117.0,116,2533,11215
2026-04-14 12:00:00+00:00,114.0,114,5406,5623
2026-04-14 18:00:00+00:00,106.0,106,6074,4568
2026-04-15 00:00:00+00:00,109.0,105,8353,17277
2026-04-15 06:00:00+00:00,106.0,98,5349,2461
2026-04-15 12:00:00+00:00,109.0,99,5561,1152
2026-04-15 18:00:00+00:00,105.0,102,4703,16775
2026-04-16 00:00:00+00:00,110.0,101,15372,3859
2026-04-16 06:00:00+00:00,106.0,109,15,26260
2026-04-16 12:00:00+00:00,106.0,96,1991,6327
2026-04-16 18:00:00+00:00,106.0,99,13819,12776
2026-04-17 00:00:00+00:00,107.0,108,1105,40591
2026-04-17 06:00:00+00:00,107.0,109,5640,4327
2026-04-17 12:00:00+00:00,111.0,109,2964,4848
2026-04-17 18:00:00+00:00,105.0,108,2851,2740
2026-04-18 00:00:00+00:00,99.0,95,2106,5724
2026-04-18 06:00:00+00:00,104.0,107,198,3800
2026-04-18 12:00:00+00:00,109.0,108,1227,4400
2026-04-18 18:00:00+00:00,109.0,108,2312,6654
2026-04-19 00:00:00+00:00,109.0,110,10430,18662
