timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2026-03-21 06:00:00+00:00,141,138,56931,41472
2026-03-21 12:00:00+00:00,142,139,42270,22011
2026-03-21 18:00:00+00:00,144,140,104401,121248
2026-03-22 00:00:00+00:00,142,137,73734,51514
2026-03-22 06:00:00+00:00,145,140,79857,43719
2026-03-22 12:00:00+00:00,145,140,97178,61898
2026-03-22 18:00:00+00:00,146,141,138427,105461
2026-03-23 00:00:00+00:00,146,142,104480,81471
2026-03-23 06:00:00+00:00,141,138,78633,51153
2026-03-23 12:00:00+00:00,145,141,87235,46292
2026-03-23 18:00:00+00:00,145,142,97269,65407
2026-03-24 00:00:00+00:00,146,142,111046,93611
2026-03-24 06:00:00+00:00,151,144,72109,77845
2026-03-24 12:00:00+00:00,147,143,110619,57182
2026-03-24 18:00:00+00:00,149,143,87545,67323
2026-03-25 00:00:00+00:00,147,143,137879,53851
2026-03-25 06:00:00+00:00,144,143,127076,140331
2026-03-25 12:00:00+00:00,148,143,103506,79279
2026-03-25 18:00:00+00:00,147,142,74553,72051
2026-03-26 00:00:00+00:00,146,143,16491,9624
2026-03-26 06:00:00+00:00,148,143,72518,53873
2026-03-26 12:00:00+00:00,148,145,111726,52238
2026-03-26 18:00:00+00:00,151,147,81194,67840
2026-03-27 00:00:00+00:00,158,149,81836,51921
2026-03-27 06:00:00+00:00,151,146,64849,72311
2026-03-27 12:00:00+00:00,157,150,92568,63366
2026-03-27 18:00:00+00:00,154,148,93141,72961
2026-03-28 00:00:00+00:00,150,146,80010,100336
2026-03-28 06:00:00+00:00,154,150,83701,31767
2026-03-28 12:00:00+00:00,153,149,101617,106175
2026-03-28 18:00:00+00:00,152,149,29334,23721
2026-03-29 00:00:00+00:00,152,145,6543,1535
2026-03-29 06:00:00+00:00,153,148,69299,69890
2026-03-29 12:00:00+00:00,151,147,190270,94733
2026-03-29 18:00:00+00:00,148,144,136105,62942
2026-03-30 00:00:00+00:00,148,146,123612,80512
2026-03-30 06:00:00+00:00,151,145,108133,56284
2026-03-30 12:00:00+00:00,148,144,128412,72170
2026-03-30 18:00:00+00:00,146,143,5919,15
2026-03-31 00:00:00+00:00,146,144,100373,84522
2026-03-31 06:00:00+00:00,147,146,100245,35410
2026-03-31 12:00:00+00:00,149,145,74014,72816
2026-03-31 18:00:00+00:00,149,144,95414,66375
2026-04-01 00:00:00+00:00,148,145,57191,61858
2026-04-01 06:00:00+00:00,148,143,61303,51361
2026-04-01 12:00:00+00:00,149,146,93595,46098
2026-04-01 18:00:00+00:00,147,145,84834,75140
2026-04-02 00:00:00+00:00,148,146,146970,48030
2026-04-02 06:00:00+00:00,147,144,113834,44239
2026-04-02 12:00:00+00:00,147,144,98295,116965
2026-04-02 18:00:00+00:00,148,145,106668,79466
2026-04-03 00:00:00+00:00,149,145,105113,89362
2026-04-03 06:00:00+00:00,150,144,70747,42574
