timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2026-03-20 06:00:00+00:00,81,80,346719,197677
2026-03-20 12:00:00+00:00,83,81,527186,338622
2026-03-20 18:00:00+00:00,82,80,481093,577873
2026-03-21 00:00:00+00:00,82,81,589705,410379
2026-03-21 06:00:00+00:00,82,80,334015,277323
2026-03-21 12:00:00+00:00,83,82,239708,168497
2026-03-21 18:00:00+00:00,83,81,355153,444558
2026-03-22 00:00:00+00:00,82,80,193057,303091
2026-03-22 06:00:00+00:00,81,80,403944,409517
2026-03-22 12:00:00+00:00,82,81,525769,503765
2026-03-22 18:00:00+00:00,82,81,481419,626725
2026-03-23 00:00:00+00:00,82,81,318568,442592
2026-03-23 06:00:00+00:00,81,79,561064,653507
2026-03-23 12:00:00+00:00,81,80,413473,455163
2026-03-23 18:00:00+00:00,82,81,483076,378543
2026-03-24 00:00:00+00:00,81,80,413647,647673
2026-03-24 06:00:00+00:00,81,79,285910,267966
2026-03-24 12:00:00+00:00,83,81,269213,352272
2026-03-24 18:00:00+00:00,82,81,235250,619589
2026-03-25 00:00:00+00:00,82,81,561062,422446
2026-03-25 06:00:00+00:00,81,81,283094,298283
2026-03-25 12:00:00+00:00,82,81,378452,286100
2026-03-25 18:00:00+00:00,83,81,682812,498801
2026-03-26 00:00:00+00:00,82,80,45814,64869
2026-03-26 06:00:00+00:00,81,79,128177,278032
2026-03-26 12:00:00+00:00,81,80,318662,389158
2026-03-26 18:00:00+00:00,81,80,295157,428797
2026-03-27 00:00:00+00:00,81,80,260637,398969
2026-03-27 06:00:00+00:00,81,80,233776,181194
2026-03-27 12:00:00+00:00,81,81,289702,339464
2026-03-27 18:00:00+00:00,82,81,265047,559423
2026-03-28 00:00:00+00:00,79,79,425131,465309
2026-03-28 06:00:00+00:00,79,78,392474,262468
2026-03-28 12:00:00+00:00,81,80,237714,388822
2026-03-28 18:00:00+00:00,81,79,131061,133615
2026-03-29 00:00:00+00:00,81,80,26357,31230
2026-03-29 06:00:00+00:00,81,80,343992,347045
2026-03-29 12:00:00+00:00,81,80,490569,490786
2026-03-29 18:00:00+00:00,81,80,357399,453776
2026-03-30 00:00:00+00:00,80,79,370300,395120
2026-03-30 06:00:00+00:00,81,80,279651,223726
2026-03-30 12:00:00+00:00,81,80,312645,314327
2026-03-30 18:00:00+00:00,82,80,18812,34841
2026-03-31 00:00:00+00:00,81,80,508666,718141
2026-03-31 06:00:00+00:00,81,80,303326,230182
2026-03-31 12:00:00+00:00,82,80,249063,467472
2026-03-31 18:00:00+00:00,81,81,317775,414377
2026-04-01 00:00:00+00:00,80,79,322709,453386
2026-04-01 06:00:00+00:00,80,79,165510,297137
2026-04-01 12:00:00+00:00,80,79,268174,393014
2026-04-01 18:00:00+00:00,81,79,318741,457993
2026-04-02 00:00:00+00:00,80,79,186227,461428
2026-04-02 06:00:00+00:00,79,77,428336,782840
2026-04-02 12:00:00+00:00,81,79,272215,335653
2026-04-02 18:00:00+00:00,80,79,263597,578664
2026-04-03 00:00:00+00:00,80,79,645146,480636
2026-04-03 06:00:00+00:00,80,78,412620,468309
2026-04-03 12:00:00+00:00,81,80,114580,65764
2026-04-03 18:00:00+00:00,81,79,504354,474987
2026-04-04 00:00:00+00:00,80,80,775030,482037
2026-04-04 06:00:00+00:00,81,80,266839,307206
2026-04-04 12:00:00+00:00,82,81,359120,371949
2026-04-04 18:00:00+00:00,81,81,443341,414253
2026-04-05 00:00:00+00:00,82,81,404653,520413
2026-04-05 06:00:00+00:00,81,80,528217,243936
