timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2026-03-20 06:00:00+00:00,12191,12169,144159,383055
2026-03-20 12:00:00+00:00,12191,12172,166745,270745
2026-03-20 18:00:00+00:00,12194,12185,177042,190157
2026-03-21 00:00:00+00:00,12196,12189,134477,169452
2026-03-21 06:00:00+00:00,12200,12194,57726,262941
2026-03-21 12:00:00+00:00,12220,12209,56169,179314
2026-03-21 18:00:00+00:00,12235,12225,72861,331707
2026-03-22 00:00:00+00:00,12299,12254,52488,251112
2026-03-22 06:00:00+00:00,12239,12222,94125,202569
2026-03-22 12:00:00+00:00,12258,12249,123975,270925
2026-03-22 18:00:00+00:00,12252,12260,155953,326016
2026-03-23 00:00:00+00:00,12269,12268,121268,274770
2026-03-23 06:00:00+00:00,12255,12266,79061,234155
2026-03-23 12:00:00+00:00,12244,12236,137292,210236
2026-03-23 18:00:00+00:00,12256,12242,194832,301876
2026-03-24 00:00:00+00:00,12246,12235,149616,242288
2026-03-24 06:00:00+00:00,12238,12228,72218,202254
2026-03-24 12:00:00+00:00,12246,12233,112853,277403
2026-03-24 18:00:00+00:00,12248,12243,174754,271794
2026-03-25 00:00:00+00:00,12241,12237,147654,263485
2026-03-25 06:00:00+00:00,12240,12239,58091,213316
2026-03-25 12:00:00+00:00,12239,12236,72903,257443
2026-03-25 18:00:00+00:00,12259,12260,88482,343201
2026-03-26 00:00:00+00:00,12258,12316,12355,71127
2026-03-26 06:00:00+00:00,12263,12253,92724,202958
2026-03-26 12:00:00+00:00,12248,12244,106986,308589
2026-03-26 18:00:00+00:00,12244,12242,142827,242721
2026-03-27 00:00:00+00:00,12246,12237,119510,295255
2026-03-27 06:00:00+00:00,12247,12239,81440,216168
2026-03-27 12:00:00+00:00,12223,12216,148453,324726
2026-03-27 18:00:00+00:00,12218,12213,224431,274240
2026-03-28 00:00:00+00:00,12216,12210,187644,311737
2026-03-28 06:00:00+00:00,12224,12213,73052,227914
2026-03-28 12:00:00+00:00,12228,12210,177376,338054
2026-03-28 18:00:00+00:00,12228,12222,54770,85962
2026-03-29 00:00:00+00:00,12217,12215,16918,26665
2026-03-29 06:00:00+00:00,12225,12226,62327,264236
2026-03-29 12:00:00+00:00,12230,12226,186600,345125
2026-03-29 18:00:00+00:00,12233,12238,133786,307209
2026-03-30 00:00:00+00:00,12223,12229,146797,316284
2026-03-30 06:00:00+00:00,12223,12230,125236,159391
2026-03-30 12:00:00+00:00,12227,12223,114764,315985
2026-03-30 18:00:00+00:00,12219,12214,8590,13640
2026-03-31 00:00:00+00:00,12226,12215,126108,339817
2026-03-31 06:00:00+00:00,12228,12225,129455,171804
2026-03-31 12:00:00+00:00,12225,12216,199611,307597
2026-03-31 18:00:00+00:00,12223,12222,154586,205642
2026-04-01 00:00:00+00:00,12225,12225,141878,293988
2026-04-01 06:00:00+00:00,12223,12225,62963,260536
2026-04-01 12:00:00+00:00,12223,12221,174800,355561
2026-04-01 18:00:00+00:00,12222,12222,188257,245259
2026-04-02 00:00:00+00:00,12219,12217,161250,234332
2026-04-02 06:00:00+00:00,12242,12230,51624,238905
2026-04-02 12:00:00+00:00,12225,12226,123740,362835
2026-04-02 18:00:00+00:00,12233,12231,114796,295196
2026-04-03 00:00:00+00:00,12222,12224,179744,351468
2026-04-03 06:00:00+00:00,12235,12232,43358,260570
2026-04-03 12:00:00+00:00,12241,12225,21973,57271
2026-04-03 18:00:00+00:00,12253,12235,119103,292828
2026-04-04 00:00:00+00:00,12241,12242,125180,380966
2026-04-04 06:00:00+00:00,12249,12249,52912,274869
2026-04-04 12:00:00+00:00,12258,12259,99981,339129
2026-04-04 18:00:00+00:00,12252,12256,143848,289910
2026-04-05 00:00:00+00:00,12249,12246,174520,276613
2026-04-05 06:00:00+00:00,12248,12245,87940,216426
2026-04-05 12:00:00+00:00,12248,12238,99620,148205
2026-04-05 18:00:00+00:00,12260,12255,172125,322571
2026-04-06 00:00:00+00:00,12251,12247,95259,260931
2026-04-06 06:00:00+00:00,12266,12252,77893,243922
2026-04-06 12:00:00+00:00,12254,12249,148804,349466
2026-04-06 18:00:00+00:00,12284,12261,95649,248370
2026-04-07 00:00:00+00:00,12295,12267,89986,286297
2026-04-07 06:00:00+00:00,12282,12274,89546,258502
2026-04-07 12:00:00+00:00,12260,12260,73901,157311
2026-04-07 18:00:00+00:00,12265,12259,176687,251881
2026-04-08 00:00:00+00:00,12268,12257,124903,226672
2026-04-08 06:00:00+00:00,12276,12279,54534,190764
2026-04-08 12:00:00+00:00,12264,12266,139696,288209
2026-04-08 18:00:00+00:00,12260,12254,128784,178629
2026-04-09 00:00:00+00:00,12261,12258,159094,248691
2026-04-09 06:00:00+00:00,12293,12274,70637,231252
2026-04-09 12:00:00+00:00,12276,12287,56801,228617
2026-04-09 18:00:00+00:00,12310,12294,69240,287674
2026-04-10 00:00:00+00:00,12281,12275,117569,208427
2026-04-10 06:00:00+00:00,12283,12323,78652,233762
2026-04-10 12:00:00+00:00,12337,12304,80506,241866
2026-04-10 18:00:00+00:00,12304,12303,72601,206498
2026-04-11 00:00:00+00:00,12327,12301,92330,236625
2026-04-11 06:00:00+00:00,12309,12315,53699,212930
2026-04-11 12:00:00+00:00,12326,12348,96093,282373
2026-04-11 18:00:00+00:00,12353,12333,74696,289026
2026-04-12 00:00:00+00:00,12333,12341,90730,332465
2026-04-12 06:00:00+00:00,12339,12331,36970,188954
2026-04-12 12:00:00+00:00,12357,12324,44471,146941
2026-04-12 18:00:00+00:00,12347,12361,165683,265741
2026-04-13 00:00:00+00:00,12351,12343,70105,240293
2026-04-13 06:00:00+00:00,12359,12337,80505,148571
2026-04-13 12:00:00+00:00,12352,12342,145754,179774
2026-04-13 18:00:00+00:00,12404,12369,93282,237787
2026-04-14 00:00:00+00:00,12377,12375,55021,312447
2026-04-14 06:00:00+00:00,12357,12355,43555,194453
2026-04-14 12:00:00+00:00,12368,12360,89462,146543
2026-04-14 18:00:00+00:00,12362,12350,87693,133205
2026-04-15 00:00:00+00:00,12379,12374,61286,214638
2026-04-15 06:00:00+00:00,12376,12380,38374,142866
2026-04-15 12:00:00+00:00,12408,12385,47075,183916
2026-04-15 18:00:00+00:00,12423,12401,26296,176299
2026-04-16 00:00:00+00:00,12390,12389,59475,176816
2026-04-16 06:00:00+00:00,12419,12391,14482,186598
2026-04-16 12:00:00+00:00,12406,12386,60473,217672
2026-04-16 18:00:00+00:00,12401,12393,103545,149260
2026-04-17 00:00:00+00:00,12404,12398,66475,132361
2026-04-17 06:00:00+00:00,12393,12397,66672,114755
2026-04-17 12:00:00+00:00,12393,12386,89352,175963
2026-04-17 18:00:00+00:00,12397,12392,111360,119419
2026-04-18 00:00:00+00:00,12394,12390,105373,176843
2026-04-18 06:00:00+00:00,12391,12387,73232,143401
2026-04-18 12:00:00+00:00,12392,12388,101706,132344
2026-04-18 18:00:00+00:00,12392,12397,110854,144661
2026-04-19 00:00:00+00:00,12400,12398,73898,191022
2026-04-19 06:00:00+00:00,12408,12403,59139,123966
2026-04-19 12:00:00+00:00,12411,12397,113944,166853
2026-04-19 18:00:00+00:00,12414,12399,52994,152656
2026-04-20 00:00:00+00:00,12402,12402,85213,207126
2026-04-20 06:00:00+00:00,12423,12408,65937,185699
2026-04-20 12:00:00+00:00,12401,12395,78164,162424
2026-04-20 18:00:00+00:00,12403,12392,73792,161616
2026-04-21 00:00:00+00:00,12387,12371,69092,137287
2026-04-21 06:00:00+00:00,12399,12389,71644,142646
2026-04-21 12:00:00+00:00,12391,12374,71492,151452
2026-04-21 18:00:00+00:00,12383,12380,109239,149116
