timestamp,avgHighPrice,avgLowPrice,highPriceVolume,lowPriceVolume
2026-03-20 06:00:00+00:00,10129,10120,47176,205677
2026-03-20 12:00:00+00:00,10109,10051,90451,308298
2026-03-20 18:00:00+00:00,10120,10097,78034,208373
2026-03-21 00:00:00+00:00,10132,10073,77247,221189
2026-03-21 06:00:00+00:00,10115,10106,40181,153253
2026-03-21 12:00:00+00:00,10119,10107,31015,135442
2026-03-21 18:00:00+00:00,10153,10128,71730,235079
2026-03-22 00:00:00+00:00,10128,10109,60323,194583
2026-03-22 06:00:00+00:00,10132,10070,135862,195066
2026-03-22 12:00:00+00:00,10144,10128,87209,213138
2026-03-22 18:00:00+00:00,10165,10152,84098,204291
2026-03-23 00:00:00+00:00,10125,10124,80991,304567
2026-03-23 06:00:00+00:00,10192,10136,73949,237462
2026-03-23 12:00:00+00:00,10271,10155,94508,236871
2026-03-23 18:00:00+00:00,10172,10157,81854,250467
2026-03-24 00:00:00+00:00,10156,10140,95268,331753
2026-03-24 06:00:00+00:00,10195,10170,51568,142132
2026-03-24 12:00:00+00:00,10285,10186,86645,255742
2026-03-24 18:00:00+00:00,10259,10248,62421,223837
2026-03-25 00:00:00+00:00,10235,10201,84728,339295
2026-03-25 06:00:00+00:00,10282,10227,36259,171324
2026-03-25 12:00:00+00:00,10302,10237,74621,271268
2026-03-25 18:00:00+00:00,10294,10262,73357,250879
2026-03-26 00:00:00+00:00,10267,10270,7521,81906
2026-03-26 06:00:00+00:00,10279,10252,69390,156203
2026-03-26 12:00:00+00:00,10271,10238,86226,242793
2026-03-26 18:00:00+00:00,10286,10272,70051,212657
2026-03-27 00:00:00+00:00,10329,10249,119726,250482
2026-03-27 06:00:00+00:00,10275,10252,67031,184165
2026-03-27 12:00:00+00:00,10226,10170,79606,343906
2026-03-27 18:00:00+00:00,10249,10187,96576,312967
2026-03-28 00:00:00+00:00,10240,10127,116647,338423
2026-03-28 06:00:00+00:00,10247,10205,69695,236567
2026-03-28 12:00:00+00:00,10242,10129,109146,259088
